image_id,r,c,direction_id,direction_seed,gain,stability_score_if_available
cifar10_00000_cat,9,28,1,322,0.9098256230354309,1.1848230361938477
cifar10_00000_cat,5,30,1,322,0.8872622847557068,0.8107236623764038
cifar10_00000_cat,20,18,1,322,0.8491307497024536,1.2674100399017334
cifar10_00000_cat,13,29,1,322,0.8377621173858643,1.263240098953247
cifar10_00000_cat,31,27,1,322,0.9093310832977295,1.6733206510543823
cifar10_00000_cat,10,19,1,322,0.4695809781551361,1.5416779518127441
cifar10_00000_cat,1,16,1,322,0.8282367587089539,0.361830472946167
cifar10_00000_cat,5,10,1,322,0.8202487230300903,0.6817586421966553
cifar10_00000_cat,12,18,1,322,0.6912890672683716,1.2877092361450195
cifar10_00000_cat,17,1,1,322,0.9668079018592834,1.3517682552337646
cifar10_00000_cat,21,7,1,322,0.5524280071258545,1.590562343597412
cifar10_00000_cat,7,27,1,322,0.8443232774734497,1.1208529472351074
cifar10_00001_ship,7,24,0,321,0.8767677545547485,1.9681364297866821
cifar10_00001_ship,14,21,0,321,0.9586541652679443,1.8944779634475708
cifar10_00001_ship,17,23,0,321,0.8554708361625671,1.8003195524215698
cifar10_00001_ship,18,3,0,321,0.9612001180648804,2.025873899459839
cifar10_00001_ship,31,29,0,321,0.9881769418716431,1.8311383724212646
cifar10_00001_ship,8,5,0,321,1.0179188251495361,1.8421887159347534
cifar10_00001_ship,7,20,0,321,0.8885208964347839,1.8662104606628418
cifar10_00001_ship,19,2,0,321,0.8846950531005859,1.9169312715530396
cifar10_00001_ship,23,4,0,321,0.943312406539917,1.475919485092163
cifar10_00001_ship,14,0,0,321,0.9492676854133606,1.855151653289795
cifar10_00001_ship,27,7,0,321,0.5195343494415283,-0.1993730068206787
cifar10_00001_ship,8,22,0,321,0.999505877494812,1.9037591218948364
cifar10_00001_ship,7,17,0,321,0.8723344206809998,1.9119311571121216
cifar10_00001_ship,21,29,0,321,0.966022789478302,1.8674901723861694
cifar10_00001_ship,28,28,0,321,0.854061484336853,1.8908195495605469
cifar10_00001_ship,5,28,0,321,0.8496113419532776,1.924680233001709
cifar10_00001_ship,19,14,0,321,0.8495227098464966,1.8553717136383057
cifar10_00001_ship,12,7,0,321,0.8379071950912476,1.908792495727539
cifar10_00001_ship,31,23,0,321,0.9408305883407593,1.7450215816497803
cifar10_00001_ship,7,28,0,321,0.9277997016906738,1.706307291984558
cifar10_00001_ship,28,16,0,321,1.0202796459197998,0.7708818912506104
cifar10_00001_ship,15,6,0,321,0.9375975728034973,1.9331254959106445
cifar10_00001_ship,15,0,0,321,0.9164819121360779,1.6626098155975342
cifar10_00001_ship,20,30,0,321,0.8901680707931519,1.8270926475524902
cifar10_00001_ship,24,8,0,321,0.9159760475158691,0.7312259674072266
cifar10_00001_ship,28,4,0,321,0.5568517446517944,0.09684991836547852
cifar10_00001_ship,21,2,0,321,0.7528982758522034,1.4047510623931885
cifar10_00001_ship,30,22,0,321,0.9323426485061646,1.6402497291564941
cifar10_00001_ship,24,12,0,321,0.7458816766738892,1.1665685176849365
cifar10_00001_ship,25,28,0,321,0.9623086452484131,1.8817088603973389
cifar10_00001_ship,27,15,0,321,0.9351546764373779,1.1553412675857544
cifar10_00001_ship,12,11,0,321,0.9010791182518005,1.8623929023742676
cifar10_00001_ship,28,6,0,321,0.46811896562576294,-0.6210921406745911
cifar10_00001_ship,23,11,0,321,0.6543835401535034,0.5166870355606079
cifar10_00001_ship,21,12,0,321,0.8824419975280762,1.7233654260635376
cifar10_00001_ship,26,3,0,321,0.28242021799087524,-0.33139747381210327
cifar10_00001_ship,7,19,0,321,0.8390120267868042,1.8326244354248047
cifar10_00001_ship,1,28,0,321,0.9326086044311523,2.0045809745788574
cifar10_00001_ship,4,1,0,321,0.7602858543395996,1.7121334075927734
cifar10_00001_ship,29,20,0,321,0.941960334777832,1.6465940475463867
cifar10_00001_ship,31,7,0,321,0.9255380630493164,1.4168347120285034
cifar10_00001_ship,21,23,0,321,0.894034743309021,1.9579832553863525
cifar10_00001_ship,27,25,0,321,0.9469903707504272,1.5950119495391846
cifar10_00001_ship,2,30,0,321,0.9647369384765625,1.8985496759414673
cifar10_00001_ship,8,6,0,321,0.9911175966262817,1.8734163045883179
cifar10_00001_ship,22,3,0,321,0.9258696436882019,1.393197774887085
cifar10_00001_ship,26,6,0,321,0.8877493739128113,0.9369595050811768
cifar10_00001_ship,14,2,0,321,0.9712926149368286,1.9149836301803589
cifar10_00001_ship,0,2,0,321,0.8723222613334656,1.7580828666687012
cifar10_00001_ship,2,22,0,321,0.9686394333839417,1.8474006652832031
cifar10_00001_ship,5,21,0,321,0.9091845750808716,1.8076913356781006
cifar10_00001_ship,0,10,0,321,0.7996985912322998,1.959926962852478
cifar10_00001_ship,27,6,0,321,0.7197055816650391,0.045733749866485596
cifar10_00001_ship,19,5,0,321,0.8527463674545288,1.8582366704940796
cifar10_00001_ship,21,19,0,321,0.956299901008606,1.9776086807250977
cifar10_00001_ship,18,13,0,321,0.8876779079437256,1.9603785276412964
cifar10_00001_ship,18,14,0,321,0.903396725654602,1.8305573463439941
cifar10_00001_ship,26,23,0,321,0.8396743535995483,1.5275843143463135
cifar10_00001_ship,6,20,0,321,0.8362505435943604,1.8482489585876465
cifar10_00001_ship,6,1,0,321,0.9030538201332092,1.904727578163147
cifar10_00001_ship,21,24,0,321,0.91771399974823,2.082913637161255
cifar10_00001_ship,24,5,0,321,0.9189594984054565,1.4164484739303589
cifar10_00001_ship,27,22,0,321,0.9548364281654358,1.563620924949646
cifar10_00001_ship,24,1,0,321,0.7971444129943848,0.6140275001525879
cifar10_00001_ship,14,18,0,321,0.9907170534133911,1.8079378604888916
cifar10_00001_ship,2,13,0,321,0.8884721398353577,1.9111610651016235
cifar10_00001_ship,18,5,0,321,0.8725133538246155,1.9473721981048584
cifar10_00001_ship,5,9,0,321,0.8326263427734375,1.9426342248916626
cifar10_00001_ship,9,9,0,321,0.8862854242324829,1.8203908205032349
cifar10_00001_ship,23,28,0,321,0.8731687068939209,1.8500325679779053
cifar10_00001_ship,11,28,0,321,0.8070103526115417,1.8324507474899292
cifar10_00001_ship,5,3,0,321,0.9783024787902832,1.8550430536270142
cifar10_00001_ship,27,27,0,321,0.8902170658111572,1.8304648399353027
cifar10_00001_ship,24,3,0,321,0.7587409019470215,0.7483432292938232
cifar10_00001_ship,25,19,0,321,0.9369693994522095,1.6767510175704956
cifar10_00001_ship,10,30,0,321,0.9595764875411987,1.763742446899414
cifar10_00001_ship,11,30,0,321,1.042019248008728,1.7425957918167114
cifar10_00001_ship,20,29,0,321,0.9047135710716248,1.8954906463623047
cifar10_00001_ship,19,3,0,321,0.9108407497406006,1.9182751178741455
cifar10_00001_ship,21,30,0,321,0.924753725528717,1.8145067691802979
cifar10_00001_ship,16,30,0,321,0.9502752423286438,1.840146541595459
cifar10_00001_ship,18,31,0,321,0.930855393409729,1.9237825870513916
cifar10_00001_ship,17,2,0,321,0.8052646517753601,2.0576486587524414
cifar10_00001_ship,21,18,0,321,0.8901530504226685,1.9759577512741089
cifar10_00001_ship,27,11,0,321,0.09737448394298553,-0.16063660383224487
cifar10_00001_ship,18,10,0,321,0.7269235849380493,1.883131980895996
cifar10_00001_ship,24,26,0,321,0.8685643672943115,1.8874001502990723
cifar10_00001_ship,28,14,0,321,0.871892511844635,0.5738998651504517
cifar10_00001_ship,11,20,0,321,0.8357435464859009,1.7909977436065674
