epsilon,image_index,class_index,class_name,bit_accuracy,psnr,ssim,lpips
5.0,4,0,airplane,100.0,25.973600010101535,0.9227062556162559,0.18644142150878906
5.0,5,0,airplane,100.0,29.03523034008711,0.9536196623891744,0.23334874212741852
5.0,6,0,airplane,100.0,28.933943595602635,0.9429443353385664,0.2767632007598877
5.0,7,0,airplane,100.0,27.058970012970896,0.9385458913831514,0.3247545063495636
5.0,8,0,airplane,100.0,29.415296583564018,0.9642687121714814,0.20021983981132507
5.0,9,0,airplane,100.0,25.19665863517522,0.9469494669659424,0.23817011713981628
5.0,10,0,airplane,100.0,29.285637713986368,0.9584402806224784,0.23765374720096588
5.0,11,0,airplane,100.0,29.21958933240253,0.9498622966212834,0.2654300928115845
5.0,12,0,airplane,95.0,27.88902644352843,0.9475564622498623,0.12034415453672409
5.0,13,0,airplane,95.0,29.57140703307489,0.9544074038551299,0.26839974522590637
5.0,14,0,airplane,100.0,29.179319351445493,0.9543350346874782,0.20429491996765137
5.0,15,0,airplane,100.0,28.50585573630714,0.9590899738773376,0.21905910968780518
5.0,16,0,airplane,95.0,28.292579776589907,0.9524806761080656,0.1682562232017517
5.0,17,0,airplane,100.0,27.887409780127083,0.9520059414472275,0.205173522233963
5.0,18,0,airplane,100.0,28.41921951080984,0.936930543806214,0.14857643842697144
5.0,19,0,airplane,95.0,27.787365254940156,0.9505804095589091,0.18421784043312073
5.0,20,0,airplane,100.0,28.92388168481346,0.9532698266225182,0.1601046472787857
5.0,21,0,airplane,100.0,25.770766120924176,0.9271322349166828,0.3027445673942566
5.0,22,0,airplane,100.0,28.149142240460456,0.940525770112255,0.2357935905456543
5.0,23,0,airplane,95.0,28.427638528739756,0.9390799054263544,0.2522808909416199
5.0,24,0,airplane,95.0,28.62505116261776,0.9527727231101717,0.17836573719978333
5.0,25,0,airplane,100.0,31.208832822119067,0.9581943191751913,0.32059115171432495
5.0,26,0,airplane,100.0,27.536183048273386,0.9493262174645033,0.2855890393257141
5.0,27,0,airplane,100.0,30.528743063874057,0.9493288692011695,0.1976408064365387
5.0,28,0,airplane,100.0,30.637276179493025,0.9419106188538126,0.21299529075622559
5.0,29,0,airplane,100.0,27.265228045511577,0.9422321087368805,0.3454073667526245
5.0,30,1,automobile,100.0,27.36209637551408,0.9451873913982777,0.11964885890483856
5.0,31,1,automobile,100.0,27.853849504422893,0.9382051734723308,0.3733031451702118
